,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,97,243,315,558,558
Precinct,98,225,182,407,407
Precinct,99,226,186,412,412
Precinct,100,237,236,473,473
Precinct,101,271,317,588,588
Precinct,102,177,210,387,387
Precinct,103,323,299,622,622
Precinct,104,290,311,601,601
Precinct,105,185,166,351,351
Precinct,106,196,206,402,402
Precinct,107,272,267,539,539
Precinct,108,239,253,492,492
Precinct,109,279,335,614,614
Precinct,110,328,394,722,722
Precinct,111,337,367,704,704
Precinct,112,343,271,614,614
Precinct,113,346,228,574,574
Precinct,114,459,230,689,689
Precinct,115,254,378,632,632
Precinct,116,270,298,568,568
Precinct,117,152,138,290,290
Precinct,118,295,241,536,536
Precinct,119,295,290,585,585
Precinct,120,250,183,433,433
Precinct,121,186,179,365,365
Precinct,122,241,282,523,523
Precinct,123,364,349,713,713
Precinct,124,282,272,554,554
Precinct,125,306,322,628,628
Precinct,126,169,171,340,340
Precinct,127,279,307,586,586
Precinct,128,304,288,592,592
Precinct,129,280,361,641,641
Precinct,130,272,215,487,487
Precinct,131,198,173,371,371
Precinct,132,312,215,527,527
Precinct,133,295,141,436,436
Precinct,134,309,383,692,692
Precinct,135,288,225,513,513
Precinct,136,275,268,543,543
Precinct,137,252,263,515,515
Precinct,138,362,478,840,840
Precinct,139,308,267,575,575
Precinct,140,196,160,356,356
Precinct,141,210,205,415,415
Precinct,142,160,176,336,336
Precinct,143,303,405,708,708
Precinct,144,167,159,326,326
Precinct,145,156,153,309,309
Precinct,146,164,119,283,283
Precinct,147,221,221,442,442
Precinct,148,182,173,355,355
Precinct,149,315,267,582,582
Precinct,150,370,276,646,646
Precinct,151,51,73,124,124
Precinct,152,120,125,245,245
Precinct,153,184,105,289,289
Precinct,154,228,176,404,404
Precinct,155,283,282,565,565
Precinct,156,394,352,746,746
Precinct,157,240,296,536,536
Precinct,Voter Privacy,0,0,0,0
County,Santa Fe,62312,20183,82495,82495
Precinct,1,288,140,428,428
Precinct,2,128,55,183,183
Precinct,3,275,95,370,370
Precinct,4,186,64,250,250
Precinct,5,434,179,613,613
Precinct,6,153,12,165,165
Precinct,7,308,94,402,402
Precinct,8,452,74,526,526
Precinct,9,441,87,528,528
Precinct,10,424,127,551,551
Precinct,11,420,66,486,486
Precinct,12,434,162,596,596
Precinct,13,400,160,560,560
Precinct,14,129,70,199,199
Precinct,15,116,220,336,336
Precinct,16,123,157,280,280
Precinct,17,269,78,347,347
Precinct,18,98,224,322,322
Precinct,19,87,103,190,190
Precinct,20,419,45,464,464
Precinct,21,339,40,379,379
Precinct,22,444,83,527,527
Precinct,23,427,187,614,614
Precinct,24,260,72,332,332
Precinct,25,443,65,508,508
Precinct,26,307,43,350,350
Precinct,27,350,57,407,407
Precinct,28,460,61,521,521
Precinct,29,493,117,610,610
Precinct,30,473,84,557,557
Precinct,31,239,78,317,317
Precinct,32,517,122,639,639
Precinct,33,207,53,260,260
Precinct,34,439,81,520,520
Precinct,35,205,34,239,239
Precinct,36,386,47,433,433
Precinct,37,311,97,408,408
Precinct,38,549,114,663,663
Precinct,39,336,126,462,462
Precinct,40,225,41,266,266
Precinct,41,254,65,319,319
Precinct,42,471,69,540,540
Precinct,43,513,61,574,574
Precinct,44,363,40,403,403
Precinct,45,372,74,446,446
Precinct,46,289,67,356,356
Precinct,47,389,39,428,428
Precinct,48,344,41,385,385
Precinct,49,443,132,575,575
Precinct,50,586,117,703,703
Precinct,51,229,52,281,281
Precinct,52,302,105,407,407
Precinct,53,342,92,434,434
Precinct,54,511,109,620,620
Precinct,55,581,129,710,710
Precinct,56,725,242,967,967
Precinct,57,461,198,659,659
Precinct,58,362,197,559,559
Precinct,59,480,215,695,695
Precinct,60,170,105,275,275
Precinct,61,303,138,441,441
Precinct,62,223,126,349,349
Precinct,63,360,117,477,477
Precinct,64,204,50,254,254
Precinct,65,442,69,511,511
Precinct,66,304,106,410,410
Precinct,67,143,55,198,198
Precinct,68,333,71,404,404
Precinct,69,495,86,581,581
Precinct,70,518,216,734,734
Precinct,71,207,41,248,248
Precinct,72,475,93,568,568
Precinct,73,295,421,716,716
Precinct,74,525,136,661,661
Precinct,75,302,104,406,406
Precinct,76,594,147,741,741
Precinct,77,464,76,540,540
Precinct,78,424,77,501,501
Precinct,79,261,157,418,418
Precinct,80,326,150,476,476
Precinct,81,464,163,627,627
Precinct,82,454,315,769,769
Precinct,83,459,130,589,589
Precinct,84,262,440,702,702
Precinct,85,201,473,674,674
Precinct,86,345,115,460,460
Precinct,87,156,78,234,234
Precinct,88,351,186,537,537
Precinct,89,500,205,705,705
Precinct,90,413,166,579,579
Precinct,91,355,84,439,439
Precinct,92,548,167,715,715
Precinct,93,357,151,508,508
Precinct,94,402,104,506,506
Precinct,95,331,42,373,373
Precinct,96,181,50,231,231
Precinct,97,434,67,501,501
Precinct,98,374,65,439,439
Precinct,99,415,126,541,541
Precinct,100,334,45,379,379
Precinct,101,393,83,476,476
Precinct,102,455,97,552,552
Precinct,103,503,106,609,609
Precinct,104,638,82,720,720
Precinct,105,444,142,586,586
Precinct,106,321,141,462,462
Precinct,107,530,102,632,632
Precinct,108,264,88,352,352
Precinct,109,294,106,400,400
Precinct,110,532,80,612,612
Precinct,111,394,74,468,468
Precinct,112,305,176,481,481
Precinct,113,466,99,565,565
Precinct,114,443,104,547,547
Precinct,115,248,377,625,625
Precinct,116,285,96,381,381
Precinct,117,395,106,501,501
Precinct,118,267,142,409,409
Precinct,119,272,45,317,317
Precinct,120,310,73,383,383
Precinct,121,358,62,420,420
Precinct,122,270,40,310,310
Precinct,123,258,52,310,310
Precinct,124,277,75,352,352
Precinct,125,224,434,658,658
Precinct,126,247,110,357,357
Precinct,127,246,40,286,286
Precinct,128,336,133,469,469
Precinct,129,381,87,468,468
Precinct,130,436,56,492,492
Precinct,131,344,75,419,419
Precinct,132,347,71,418,418
Precinct,133,247,103,350,350
Precinct,134,574,104,678,678
Precinct,135,345,144,489,489
Precinct,136,242,69,311,311
Precinct,137,241,88,329,329
Precinct,138,274,112,386,386
Precinct,139,460,103,563,563
Precinct,140,191,103,294,294
Precinct,141,194,54,248,248
Precinct,142,417,68,485,485
Precinct,143,271,73,344,344
Precinct,144,342,125,467,467
Precinct,145,130,52,182,182
Precinct,146,437,156,593,593
Precinct,147,572,180,752,752
Precinct,148,229,383,612,612
Precinct,149,311,127,438,438
Precinct,150,327,107,434,434
Precinct,151,620,241,861,861
Precinct,152,326,85,411,411
Precinct,153,591,177,768,768
Precinct,154,348,145,493,493
Precinct,155,226,30,256,256
Precinct,156,176,216,392,392
Precinct,157,152,413,565,565
Precinct,158,311,34,345,345
Precinct,159,385,53,438,438
Precinct,160,437,82,519,519
Precinct,161,316,46,362,362
Precinct,162,386,40,426,426
Precinct,163,197,44,241,241
Precinct,164,208,41,249,249
Precinct,165,280,59,339,339
Precinct,166,425,103,528,528
Precinct,167,362,106,468,468
Precinct,168,370,56,426,426
Precinct,169,115,21,136,136
Precinct,170,308,128,436,436
Precinct,171,253,55,308,308
Precinct,172,364,65,429,429
Precinct,173,376,106,482,482
Precinct,174,374,184,558,558
Precinct,175,453,111,564,564
Precinct,176,284,104,388,388
Precinct,177,315,77,392,392
Precinct,178,262,45,307,307
Precinct,179,90,40,130,130
Precinct,Voter Privacy,0,0,0,0
County,Sierra,2553,3269,5822,5822
Precinct,1,325,389,714,714
Precinct,2,274,564,838,838
Precinct,3,66,178,244,244
Precinct,4,136,268,404,404
Precinct,5,109,228,337,337
Precinct,6,141,46,187,187
Precinct,7,304,232,536,536
Precinct,8,262,289,551,551
Precinct,9,23,67,90,90
Precinct,10,166,335,501,501
Precinct,11,296,290,586,586
Precinct,12,451,383,834,834
Precinct,Voter Privacy,0,0,0,0
County,Socorro,3704,3365,7069,7069
Precinct,1,244,156,400,400
Precinct,2,279,167,446,446
Precinct,3,423,224,647,647
Precinct,4,105,98,203,203
Precinct,5,103,94,197,197
Precinct,6,171,141,312,312
Precinct,7,55,27,82,82
Precinct,8,370,283,653,653
Precinct,9,20,41,61,61
Precinct,10,72,43,115,115
Precinct,11,185,303,488,488
Precinct,12,5,20,25,25
Precinct,13,206,259,465,465
Precinct,14,77,153,230,230
Precinct,15,337,130,467,467
Precinct,16,31,45,76,76
Precinct,17,32,36,68,68
Precinct,18,275,222,497,497
Precinct,19,174,198,372,372
Precinct,20,116,130,246,246
Precinct,21,22,31,53,53
Precinct,22,25,37,62,62
Precinct,23,38,57,95,95
Precinct,24,99,115,214,214
Precinct,25,42,49,91,91
Precinct,26,18,25,43,43
Precinct,27,180,281,461,461
Precinct,Voter Privacy,0,0,0,0
County,Taos,12457,3849,16306,16306
Precinct,1,274,113,387,387
Precinct,2,97,35,132,132
Precinct,3,61,41,102,102
Precinct,4,264,128,392,392
Precinct,5,219,108,327,327
Precinct,6,278,172,450,450
Precinct,7,125,221,346,346
Precinct,8,201,37,238,238
Precinct,9,612,128,740,740
Precinct,10,268,61,329,329
Precinct,11,282,65,347,347
Precinct,12,513,99,612,612
Precinct,13,420,41,461,461
Precinct,14,315,101,416,416
Precinct,15,490,78,568,568
Precinct,16,423,105,528,528
Precinct,17,463,156,619,619
Precinct,18,399,120,519,519
Precinct,19,358,110,468,468
Precinct,20,380,118,498,498
Precinct,21,248,74,322,322
Precinct,22,59,17,76,76
Precinct,23,57,14,71,71
Precinct,24,76,64,140,140
Precinct,25,69,58,127,127
Precinct,26,42,33,75,75
Precinct,27,160,65,225,225
Precinct,28,174,70,244,244
Precinct,29,81,38,119,119
Precinct,30,39,9,48,48
Precinct,31,26,11,37,37
Precinct,32,111,30,141,141
Precinct,33,77,34,111,111
Precinct,34,399,118,517,517
Precinct,35,279,72,351,351
Precinct,36,57,*,57,57
Precinct,37,641,164,805,805
Precinct,38,378,75,453,453
Precinct,39,377,133,510,510
Precinct,40,356,94,450,450
Precinct,41,392,128,520,520
Precinct,42,411,91,502,502
Precinct,43,316,73,389,389
Precinct,44,442,114,556,556
Precinct,45,293,74,367,367
Precinct,46,58,28,86,86
Precinct,47,397,127,524,524
Precinct,Voter Privacy,*,*,*,4
County,Torrance,2454,4601,7055,7055
Precinct,1,166,316,482,482
Precinct,2,66,167,233,233
Precinct,3,117,135,252,252
Precinct,4,60,110,170,170
Precinct,5,216,331,547,547
Precinct,6,149,302,451,451
Precinct,7,169,418,587,587
Precinct,8,42,81,123,123
Precinct,9,199,299,498,498
Precinct,10,113,202,315,315
Precinct,11,26,52,78,78
Precinct,12,15,53,68,68
Precinct,13,200,437,637,637
Precinct,14,14,62,76,76
Precinct,15,99,197,296,296
Precinct,16,127,219,346,346
Precinct,17,144,248,392,392
Precinct,18,124,219,343,343
Precinct,19,93,213,306,306
Precinct,20,78,147,225,225
Precinct,21,134,200,334,334
Precinct,22,103,193,296,296
Precinct,Voter Privacy,0,0,0,0
County,Union,397,1231,1628,1628
Precinct,1,63,212,275,275
Precinct,4,115,363,478,478
Precinct,6,124,304,428,428
Precinct,7,80,206,286,286
Precinct,8,9,81,90,90
Precinct,9,6,65,71,71
Precinct,Voter Privacy,0,0,0,0
County,Valencia,14810,17857,32667,32667
Precinct,1,104,112,216,216
Precinct,2,183,179,362,362
Precinct,3,270,283,553,553
Precinct,4,216,275,491,491
Precinct,5,243,327,570,570
Precinct,6,229,269,498,498
Precinct,7,299,443,742,742
Precinct,8,187,217,404,404
Precinct,9,232,369,601,601
Precinct,10,201,298,499,499
Precinct,11,195,436,631,631
Precinct,12,260,393,653,653
Precinct,13,250,87,337,337
Precinct,14,307,368,675,675
Precinct,15,185,238,423,423
Precinct,16,183,160,343,343
Precinct,17,317,345,662,662
Precinct,18,251,374,625,625
Precinct,19,185,345,530,530
Precinct,20,82,129,211,211
Precinct,21,339,289,628,628
Precinct,22,276,328,604,604
Precinct,23,278,236,514,514
Precinct,24,108,52,160,160
Precinct,25,190,187,377,377
Precinct,26,154,135,289,289
Precinct,27,306,374,680,680
Precinct,28,181,132,313,313
Precinct,29,228,236,464,464
Precinct,30,224,342,566,566
Precinct,31,196,255,451,451
Precinct,32,204,265,469,469
Precinct,33,149,163,312,312
Precinct,34,125,164,289,289
Precinct,35,182,282,464,464
Precinct,36,146,207,353,353
Precinct,37,198,226,424,424
Precinct,38,304,394,698,698
Precinct,39,458,392,850,850
Precinct,40,176,199,375,375
Precinct,41,288,256,544,544
Precinct,42,459,603,1062,1062
Precinct,43,236,265,501,501
Precinct,44,194,204,398,398
Precinct,45,206,228,434,434
Precinct,46,181,281,462,462
Precinct,47,323,356,679,679
Precinct,48,338,370,708,708
Precinct,49,174,242,416,416
Precinct,50,97,76,173,173
Precinct,51,179,201,380,380
Precinct,52,188,272,460,460
Precinct,53,167,270,437,437
Precinct,54,223,257,480,480
Precinct,55,367,398,765,765
Precinct,56,232,173,405,405
Precinct,57,302,445,747,747
Precinct,58,289,380,669,669
Precinct,59,174,253,427,427
Precinct,60,258,343,601,601
Precinct,61,203,319,522,522
Precinct,62,289,285,574,574
Precinct,63,92,175,267,267
Precinct,64,202,266,468,468
Precinct,65,220,290,510,510
Precinct,66,128,144,272,272
Precinct,Voter Privacy,0,0,0,0
