,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,276,294,104,398,398
Precinct,277,423,140,563,563
Precinct,278,218,113,331,331
Precinct,279,206,111,317,317
Precinct,280,247,91,338,338
Precinct,281,244,96,340,340
Precinct,282,390,141,531,531
Precinct,283,166,73,239,239
Precinct,284,253,115,368,368
Precinct,285,242,91,333,333
Precinct,286,112,60,172,172
Precinct,287,206,84,290,290
Precinct,288,182,158,340,340
Precinct,289,438,293,731,731
Precinct,290,149,174,323,323
Precinct,291,312,217,529,529
Precinct,292,255,161,416,416
Precinct,293,204,121,325,325
Precinct,294,327,354,681,681
Precinct,295,301,271,572,572
Precinct,296,258,165,423,423
Precinct,297,232,174,406,406
Precinct,298,240,182,422,422
Precinct,299,190,105,295,295
Precinct,300,224,151,375,375
Precinct,301,317,228,545,545
Precinct,302,326,222,548,548
Precinct,303,214,147,361,361
Precinct,304,276,166,442,442
Precinct,305,388,185,573,573
Precinct,306,227,185,412,412
Precinct,307,310,211,521,521
Precinct,308,227,196,423,423
Precinct,309,214,250,464,464
Precinct,310,413,246,659,659
Precinct,311,330,97,427,427
Precinct,312,391,107,498,498
Precinct,313,195,74,269,269
Precinct,314,354,153,507,507
Precinct,315,286,133,419,419
Precinct,316,320,176,496,496
Precinct,317,250,124,374,374
Precinct,318,147,86,233,233
Precinct,319,341,246,587,587
Precinct,320,302,308,610,610
Precinct,321,249,77,326,326
Precinct,322,187,65,252,252
Precinct,323,292,130,422,422
Precinct,324,357,192,549,549
Precinct,325,431,291,722,722
Precinct,326,244,111,355,355
Precinct,327,98,60,158,158
Precinct,328,373,241,614,614
Precinct,329,251,179,430,430
Precinct,330,214,115,329,329
Precinct,331,228,100,328,328
Precinct,332,322,245,567,567
Precinct,333,302,195,497,497
Precinct,334,204,248,452,452
Precinct,335,288,139,427,427
Precinct,336,148,69,217,217
Precinct,337,149,103,252,252
Precinct,338,421,148,569,569
Precinct,339,221,210,431,431
Precinct,340,267,186,453,453
Precinct,341,356,77,433,433
Precinct,342,241,30,271,271
Precinct,343,410,67,477,477
Precinct,344,541,131,672,672
Precinct,345,119,47,166,166
Precinct,346,298,152,450,450
Precinct,347,333,166,499,499
Precinct,348,321,171,492,492
Precinct,349,363,329,692,692
Precinct,350,251,269,520,520
Precinct,351,266,41,307,307
Precinct,352,380,50,430,430
Precinct,353,262,20,282,282
Precinct,354,383,56,439,439
Precinct,355,436,38,474,474
Precinct,356,359,49,408,408
Precinct,357,228,45,273,273
Precinct,358,429,68,497,497
Precinct,359,263,152,415,415
Precinct,360,208,236,444,444
Precinct,361,265,340,605,605
Precinct,362,272,153,425,425
Precinct,363,134,133,267,267
Precinct,364,186,155,341,341
Precinct,365,290,259,549,549
Precinct,366,203,117,320,320
Precinct,367,151,80,231,231
Precinct,368,112,138,250,250
Precinct,369,227,189,416,416
