COUNTY,FIPS,SRPREC,ELECTION,SRPREC_KEY,GEO_TYPE,CITY,N_IN_CITY,N
19,06037,9002084A,g24,060379002084A,srprec,LOS ANGELES,3307,3307
19,06037,9003229A,g24,060379003229A,srprec,LOS ANGELES,2780,2780
19,06037,9002007A,g24,060379002007A,srprec,LOS ANGELES,2865,2865
19,06037,9002009A,g24,060379002009A,srprec,LOS ANGELES,615,616
19,06037,9002036A,g24,060379002036A,srprec,LOS ANGELES,2901,2901
19,06037,9002706A,g24,060379002706A,srprec,LOS ANGELES,2742,2743
19,06037,9002068A,g24,060379002068A,srprec,LOS ANGELES,2256,2256
19,06037,9002114A,g24,060379002114A,srprec,LOS ANGELES,3200,3200
19,06037,9002927A,g24,060379002927A,srprec,LOS ANGELES,2939,2939
19,06037,9002086A,g24,060379002086A,srprec,LOS ANGELES,2650,2650
19,06037,9002101A,g24,060379002101A,srprec,LOS ANGELES,2397,2397
19,06037,9007228B,g24,060379007228B,srprec,LOS ANGELES,3685,3685
19,06037,9003438A,g24,060379003438A,srprec,LOS ANGELES,2127,2127
19,06037,9002103B,g24,060379002103B,srprec,LOS ANGELES,673,673
19,06037,9005007A,g24,060379005007A,srprec,LOS ANGELES,1234,1234
19,06037,9002113A,g24,060379002113A,srprec,LOS ANGELES,2454,2454
19,06037,9002130A,g24,060379002130A,srprec,LOS ANGELES,2234,2234
19,06037,9002128A,g24,060379002128A,srprec,LOS ANGELES,1854,1854
19,06037,9002144A,g24,060379002144A,srprec,LOS ANGELES,2137,2138
19,06037,9002508A,g24,060379002508A,srprec,LOS ANGELES,3071,3071
19,06037,9002133A,g24,060379002133A,srprec,LOS ANGELES,2057,2057
19,06037,9004060A,g24,060379004060A,srprec,LOS ANGELES,2563,2563
19,06037,9003240A,g24,060379003240A,srprec,LOS ANGELES,2552,2552
19,06037,9002153A,g24,060379002153A,srprec,LOS ANGELES,915,915
19,06037,9002159B,g24,060379002159B,srprec,LOS ANGELES,4316,4316
19,06037,9002169A,g24,060379002169A,srprec,LOS ANGELES,2569,2569
19,06037,9002562B,g24,060379002562B,srprec,LOS ANGELES,4781,4784
19,06037,9002186A,g24,060379002186A,srprec,LOS ANGELES,4556,4571
19,06037,9007016A,g24,060379007016A,srprec,LOS ANGELES,1969,1969
19,06037,9005303A,g24,060379005303A,srprec,LOS ANGELES,2500,2500
19,06037,9002216A,g24,060379002216A,srprec,LOS ANGELES,192,192
19,06037,9002238C,g24,060379002238C,srprec,LOS ANGELES,335,338
19,06037,9002272A,g24,060379002272A,srprec,LOS ANGELES,4354,4356
19,06037,9002280A,g24,060379002280A,srprec,LOS ANGELES,976,977
19,06037,9002294A,g24,060379002294A,srprec,NORTH HOLLYWOOD,276,311
19,06037,9002297A,g24,060379002297A,srprec,LOS ANGELES,3263,3263
19,06037,9002302A,g24,060379002302A,srprec,LOS ANGELES,3176,3176
19,06037,9005315A,g24,060379005315A,srprec,LOS ANGELES,2738,2738
19,06037,9002314A,g24,060379002314A,srprec,NORTH HILLS,929,929
19,06037,9002318A,g24,060379002318A,srprec,SUN VALLEY,2368,2462
19,06037,9002340A,g24,060379002340A,srprec,LOS ANGELES,3086,3086
19,06037,9006406A,g24,060379006406A,srprec,NORTHRIDGE,3285,3285
19,06037,9002330A,g24,060379002330A,srprec,LOS ANGELES,2690,2690
19,06037,9003195A,g24,060379003195A,srprec,LOS ANGELES,2958,2958
19,06037,9002363A,g24,060379002363A,srprec,LOS ANGELES,1455,1455
19,06037,9002388A,g24,060379002388A,srprec,VENICE,4591,4661
19,06037,9002390A,g24,060379002390A,srprec,VAN NUYS,426,426
19,06037,9002405A,g24,060379002405A,srprec,CULVER CITY,825,829
19,06037,9002420A,g24,060379002420A,srprec,CULVER CITY,1128,1157
19,06037,9005323A,g24,060379005323A,srprec,LOS ANGELES,2548,2548
19,06037,9002440A,g24,060379002440A,srprec,WILMINGTON,150,181
19,06037,9002503A,g24,060379002503A,srprec,LOS ANGELES,2139,2139
19,06037,9002507A,g24,060379002507A,srprec,LOS ANGELES,2454,2454
19,06037,9002560A,g24,060379002560A,srprec,LOS ANGELES,2897,2897
19,06037,9006085A,g24,060379006085A,srprec,LOS ANGELES,2957,2957
19,06037,9002500A,g24,060379002500A,srprec,LOS ANGELES,1611,1611
19,06037,9002533A,g24,060379002533A,srprec,LOS ANGELES,418,420
19,06037,9003587A,g24,060379003587A,srprec,LOS ANGELES,1520,1520
19,06037,9004515A,g24,060379004515A,srprec,LOS ANGELES,319,319
19,06037,9002859A,g24,060379002859A,srprec,LOS ANGELES,63,63
19,06037,9002821A,g24,060379002821A,srprec,LOS ANGELES,667,667
19,06037,9000400A,g24,060379000400A,srprec,NORTH HILLS,1988,3946
19,06037,9006601B,g24,060379006601B,srprec,WOODLAND HILLS,2331,4286
19,06037,9002829A,g24,060379002829A,srprec,LOS ANGELES,129,129
19,06037,9007221A,g24,060379007221A,srprec,LOS ANGELES,3240,3240
19,06037,9002860A,g24,060379002860A,srprec,LOS ANGELES,616,616
19,06037,9002868A,g24,060379002868A,srprec,LOS ANGELES,1105,1105
19,06037,9006611A,g24,060379006611A,srprec,WOODLAND HILLS,3204,3267
19,06037,9002876A,g24,060379002876A,srprec,LOS ANGELES,401,401
19,06037,9006618C,g24,060379006618C,srprec,WOODLAND HILLS,2100,2139
19,06037,9002954A,g24,060379002954A,srprec,LOS ANGELES,601,601
19,06037,9002954C,g24,060379002954C,srprec,LOS ANGELES,320,320
19,06037,9006267A,g24,060379006267A,srprec,NORTH HILLS,2812,4518
19,06037,9003155A,g24,060379003155A,srprec,LOS ANGELES,5,5
19,06037,9003549A,g24,060379003549A,srprec,LOS ANGELES,1526,1526
