,,Elliott Hood,Eric Rinard,T.J. Cole,Thomas Reasoner,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Unity Party of Colorado,Approval Voting,,
Precinct,6294203534,377,134,8,7,526,526
Precinct,6294203535,408,187,18,3,616,616
Precinct,6294203536,302,98,21,10,431,431
Precinct,6294203540,271,185,14,5,475,475
Precinct,6294203541,294,144,18,5,461,461
Precinct,6294203542,162,48,6,4,220,220
Precinct,6294203543,420,212,16,6,654,654
Precinct,6320903415,88,55,1,0,144,144
County,Archuleta,3311,5009,167,75,8562,8562
Precinct,3065904001,404,537,17,6,964,964
Precinct,3065904002,342,507,23,7,879,879
Precinct,3065904003,235,439,10,8,692,692
Precinct,3065904004,113,249,2,7,371,371
Precinct,3065904005,320,636,25,16,997,997
Precinct,3065904006,721,861,27,3,1612,1612
Precinct,3065904007,623,809,35,10,1477,1477
Precinct,3065904008,553,971,28,18,1570,1570
County,Baca,251,1563,26,17,1857,1857
Precinct,4354705001,26,180,2,2,210,210
Precinct,4354705002,39,202,3,2,246,246
Precinct,4354705003,13,137,1,3,154,154
Precinct,4354705004,35,235,5,3,278,278
Precinct,4354705005,10,98,3,1,112,112
Precinct,4354705006,11,108,1,0,120,120
Precinct,4354705007,50,261,7,4,322,322
Precinct,4354705008,61,278,4,2,345,345
Precinct,4354705009,6,64,0,0,70,70
County,Bent,561,1375,50,31,2017,2017
Precinct,4354706001,52,266,10,9,337,337
Precinct,4354706002,65,408,8,3,484,484
Precinct,4354706003,192,247,15,7,461,461
Precinct,4354706004,147,160,10,4,321,321
Precinct,4354706005,105,294,7,8,414,414
County,Boulder,128822,44470,4073,1333,178698,178698
Precinct,2151107703,92,59,7,0,158,158
Precinct,2151207700,690,343,22,4,1059,1059
Precinct,2151907002,0,0,0,0,0,0
Precinct,2154907701,630,372,12,6,1020,1020
Precinct,2154907702,283,239,10,3,535,535
Precinct,2154907704,215,269,7,2,493,493
Precinct,2154907705,193,306,7,4,510,510
Precinct,2154907900,331,51,10,4,396,396
Precinct,2154907901,481,259,21,9,770,770
Precinct,2154907902,187,49,8,2,246,246
Precinct,2154907903,433,111,12,4,560,560
Precinct,2154907904,734,163,26,10,933,933
Precinct,2154907905,325,56,12,5,398,398
Precinct,2154907906,300,121,15,5,441,441
Precinct,2154907907,563,127,17,3,710,710
Precinct,2154907908,214,89,6,2,311,311
Precinct,2154907909,403,56,13,6,478,478
Precinct,2154907910,389,115,8,4,516,516
Precinct,2154907911,587,158,17,1,763,763
Precinct,2154907912,1062,348,34,8,1452,1452
Precinct,2154907913,378,102,14,6,500,500
Precinct,2154907914,227,139,7,5,378,378
Precinct,2154907915,804,272,29,9,1114,1114
Precinct,2154907916,709,251,24,5,989,989
Precinct,2171107600,1047,386,32,14,1479,1479
Precinct,2171107601,601,198,24,6,829,829
Precinct,2171107602,427,216,16,6,665,665
Precinct,2171107603,849,370,14,3,1236,1236
Precinct,2171107604,588,273,14,6,881,881
Precinct,2171107605,620,289,26,11,946,946
Precinct,2171107606,894,423,17,5,1339,1339
Precinct,2171107607,1045,388,20,14,1467,1467
Precinct,2171107608,809,409,17,4,1239,1239
Precinct,2171107609,975,326,28,15,1344,1344
Precinct,2171107610,1044,438,29,12,1523,1523
Precinct,2171107611,634,221,29,10,894,894
Precinct,2171107612,589,289,32,9,919,919
Precinct,2171107613,570,240,17,8,835,835
Precinct,2171107614,375,147,16,7,545,545
Precinct,2171107615,1145,320,48,14,1527,1527
Precinct,2171107616,861,269,28,13,1171,1171
Precinct,2171107617,647,298,37,15,997,997
Precinct,2171107618,686,352,28,10,1076,1076
Precinct,2171107622,451,255,32,12,750,750
Precinct,2171107623,807,387,53,19,1266,1266
Precinct,2171107624,885,333,38,15,1271,1271
Precinct,2171107625,574,309,23,9,915,915
Precinct,2171107626,738,322,13,14,1087,1087
Precinct,2171107627,450,338,11,6,805,805
Precinct,2171107628,476,289,31,4,800,800
Precinct,2171107629,556,342,18,12,928,928
Precinct,2171107630,336,184,22,5,547,547
Precinct,2171107631,345,282,10,8,645,645
Precinct,2171107632,440,226,31,16,713,713
Precinct,2171107633,409,216,26,5,656,656
Precinct,2171107634,598,345,19,11,973,973
Precinct,2171107638,425,314,17,9,765,765
Precinct,2171107639,414,236,12,2,664,664
Precinct,2171107640,419,209,21,11,660,660
Precinct,2171107641,363,214,17,9,603,603
Precinct,2171107642,651,318,21,13,1003,1003
Precinct,2171107643,406,246,12,13,677,677
Precinct,2171107644,428,236,16,8,688,688
Precinct,2171107645,656,345,19,10,1030,1030
Precinct,2171107646,330,262,9,4,605,605
Precinct,2171107647,470,236,15,7,728,728
Precinct,2171107648,478,259,20,5,762,762
Precinct,2171107649,733,467,43,20,1263,1263
Precinct,2171107650,512,388,18,13,931,931
Precinct,2171107651,999,624,39,8,1670,1670
Precinct,2171207300,969,450,47,10,1476,1476
Precinct,2171207301,1026,304,50,13,1393,1393
Precinct,2171207302,1130,358,32,10,1530,1530
Precinct,2171207303,570,134,26,6,736,736
Precinct,2171207304,669,167,16,14,866,866
Precinct,2171207305,667,188,29,6,890,890
Precinct,2171207306,746,204,33,11,994,994
Precinct,2171207307,685,237,40,18,980,980
Precinct,2171207308,656,169,23,6,854,854
Precinct,2171207309,712,222,25,2,961,961
Precinct,2171207310,928,267,23,3,1221,1221
Precinct,2171207311,504,131,24,5,664,664
Precinct,2171207312,655,261,16,5,937,937
Precinct,2171207313,846,243,35,5,1129,1129
Precinct,2171207314,969,260,16,10,1255,1255
Precinct,2171207315,484,190,19,2,695,695
Precinct,2171207316,708,359,22,6,1095,1095
Precinct,2171907400,1302,634,42,8,1986,1986
Precinct,2171907401,866,406,23,15,1310,1310
Precinct,2171907402,816,397,30,9,1252,1252
Precinct,2171907403,801,366,17,11,1195,1195
Precinct,2171907404,887,533,29,11,1460,1460
Precinct,2171907405,580,392,22,3,997,997
Precinct,2171907406,770,552,22,5,1349,1349
Precinct,2171907407,190,149,1,10,350,350
Precinct,2171907408,269,221,8,3,501,501
Precinct,2171907619,817,569,20,5,1411,1411
Precinct,2171907620,889,492,26,18,1425,1425
Precinct,2171907621,385,307,20,5,717,717
Precinct,2171907635,581,350,15,13,959,959
Precinct,2171907636,684,424,22,1,1131,1131
Precinct,2171907637,633,493,18,4,1148,1148
Precinct,2181007800,612,194,17,5,828,828
Precinct,2181007801,299,61,6,1,367,367
Precinct,2181007802,686,191,35,1,913,913
Precinct,2181007803,1181,171,43,13,1408,1408
Precinct,2181007806,844,140,25,6,1015,1015
Precinct,2181007807,684,141,22,1,848,848
Precinct,2181007808,903,213,16,3,1135,1135
