"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Attorney General","Nick Brown","(Prefers Democratic Party)",2093570,55.58,"State Executive"
"Attorney General","WRITE-IN"," ",3616,0.1,"State Executive"
"Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)",1765121,47.15,"State Executive"
"Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)",1969936,52.62,"State Executive"
"Commissioner of Public Lands","WRITE-IN"," ",8394,0.22,"State Executive"
"Superintendent of Public Instruction","Chris Reykdal","",1746848,52.77,"State Executive"
"Superintendent of Public Instruction","David Olson","",1543550,46.63,"State Executive"
"Superintendent of Public Instruction","WRITE-IN"," ",19932,0.6,"State Executive"
"Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)",2091969,56.62,"State Executive"
"Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)",1598032,43.26,"State Executive"
"Insurance Commissioner","WRITE-IN"," ",4430,0.12,"State Executive"
"LEGISLATIVE DISTRICT 1 - State Senator","Derek Stanford","(Prefers Democratic Party)",60591,96.05,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Senator","WRITE-IN"," ",2490,3.95,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","Davina Duerr","(Prefers Democratic Party)",55168,69.18,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","Mark Davies","(Prefers Republican Party)",24467,30.68,"Legislative"
"LEGISLATIVE DISTRICT 1 - State Representative Pos. 1","WRITE-IN"," ",106,0.13,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Shelley Kloba","(Prefers Democratic Party)",59587,96.15,"Legislative"
"Legislative District 1 - State Representative Pos. 2","WRITE-IN"," ",2388,3.85,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Jim McCune","(Prefers Republican Party)",47997,63.05,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","Erasmo Ruiz Gonzalez","(Prefers Democratic Party)",28016,36.8,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Senator","WRITE-IN"," ",118,0.15,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","Andrew Barkis","(Prefers Republican Party)",59179,95.24,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 1","WRITE-IN"," ",2958,4.76,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","Matt Marshall","(Prefers Republican Party)",37267,55.4,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","John Snaza","(Prefers Republican Party)",27928,41.51,"Legislative"
"LEGISLATIVE DISTRICT 2 - State Representative Pos. 2","WRITE-IN"," ",2079,3.09,"Legislative"
"Legislative District 3 - State Senator","Marcus Riccelli","(Prefers Democratic Party)",45497,60.54,"Legislative"
"Legislative District 3 - State Senator","Jim Wilson","(Prefers Republican Party)",29555,39.33,"Legislative"
"Legislative District 3 - State Senator","WRITE-IN"," ",95,0.13,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Tony Kiepe","(Prefers Republican Party)",30658,41.11,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Natasha Hill","(Prefers Democratic Party)",43735,58.64,"Legislative"
"Legislative District 3 - State Representative Pos. 1","WRITE-IN"," ",190,0.25,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)",53667,92.76,"Legislative"
"Legislative District 3 - State Representative Pos. 2","WRITE-IN"," ",4190,7.24,"Legislative"
"Legislative District 4 - State Senator","Miguel Valencia","(Prefers Democratic Party)",29666,35.55,"Legislative"
"Legislative District 4 - State Senator","Leonard Christian","(Prefers Republican Party)",53660,64.3,"Legislative"
"Legislative District 4 - State Senator","WRITE-IN"," ",131,0.16,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Suzanne Schmidt","(Prefers Republican Party)",54792,68.36,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Kristopher Pockell","(States No Party Preference)",24817,30.96,"Legislative"
"Legislative District 4 - State Representative Pos. 1","WRITE-IN"," ",545,0.68,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Rob Chase","(Prefers Republican Party)",52902,63.54,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Ted Cummings","(Prefers Democratic Party)",30208,36.28,"Legislative"
"Legislative District 4 - State Representative Pos. 2","WRITE-IN"," ",148,0.18,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Bill Ramos","(Prefers Democratic Party)",44393,51.97,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Chad Magendanz","(Prefers Republican Party)",40966,47.96,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","WRITE-IN"," ",66,0.08,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Victoria Hunt","(Prefers Democratic Party)",45999,54.05,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)",39039,45.87,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 1","WRITE-IN"," ",64,0.08,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","Lisa Callan","(Prefers Democratic Party)",47392,55.8,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","Patrick Peacock","(Prefers Republican Party)",37474,44.12,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Representative Pos. 2","WRITE-IN"," ",70,0.08,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Mike Volz","(Prefers Republican Party)",47492,62.26,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Steven McCray II","(Prefers Democratic Party)",28657,37.57,"Legislative"
"Legislative District 6 - State Representative Pos. 1","WRITE-IN"," ",130,0.17,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Jenny Graham","(Prefers Republican Party)",45958,60.33,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Michaela Kelso","(Prefers Democratic Party)",30093,39.5,"Legislative"
"Legislative District 6 - State Representative Pos. 2","WRITE-IN"," ",132,0.17,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Andrew Engell","(Prefers Republican Party)",48785,63.36,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Soo Ing-Moody","(Prefers Republican Party)",27496,35.71,"Legislative"
"Legislative District 7 - State Representative Pos. 1","WRITE-IN"," ",715,0.93,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Hunter Abell","(Prefers Republican Party)",58071,70.72,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Paul &quot;Rocky&quot; Dean","(Prefers Democratic Party)",23929,29.14,"Legislative"
"Legislative District 7 - State Representative Pos. 2","WRITE-IN"," ",119,0.14,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Stephanie Barnard","(Prefers Republican Party)",58288,97.46,"Legislative"
"Legislative District 8 - State Representative Pos. 1","WRITE-IN"," ",1519,2.54,"Legislative"
"Legislative District 8 - State Representative Pos. 2","April Connors","(Prefers Republican Party)",51164,70.44,"Legislative"
"Legislative District 8 - State Representative Pos. 2","John Christenson","(Prefers Democratic Party)",21360,29.41,"Legislative"
"Legislative District 8 - State Representative Pos. 2","WRITE-IN"," ",114,0.16,"Legislative"
"Legislative District 9 - State Senator","Mark G. Schoesler","(Prefers GOP Party)",57974,95.13,"Legislative"
"Legislative District 9 - State Senator","WRITE-IN"," ",2967,4.87,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Mary Dye","(Prefers GOP Party)",50468,64.88,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Patrick Miller","(Prefers Democratic Party)",27092,34.83,"Legislative"
"Legislative District 9 - State Representative Pos. 1","WRITE-IN"," ",225,0.29,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)",50211,63.92,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 2","Pam Kohlmeier","(Prefers Democratic Party)",28236,35.94,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 2","WRITE-IN"," ",109,0.14,"Legislative"
"Legislative District 10 - State Senator","Ron Muzzall","(Prefers Republican Party)",45889,50.91,"Legislative"
"Legislative District 10 - State Senator","Janet St Clair","(Prefers Democratic Party)",44105,48.93,"Legislative"
"Legislative District 10 - State Senator","WRITE-IN"," ",140,0.16,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Clyde Shavers","(Prefers Democratic Party)",47473,53.21,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Carrie R. Kennedy","(Prefers Republican Party)",41578,46.6,"Legislative"
"Legislative District 10 - State Representative Pos. 1","WRITE-IN"," ",172,0.19,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Dave Paul","(Prefers Democratic Party)",47826,53.69,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","Gary Wray","(Prefers Republican Party)",41137,46.18,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 2","WRITE-IN"," ",118,0.13,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","Bob Hasegawa","(Prefers Democratic Party)",47344,95.88,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Senator","WRITE-IN"," ",2036,4.12,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","David Hackney","(Prefers Democratic Party)",46438,95.91,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 1","WRITE-IN"," ",1978,4.09,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Steve Bergquist","(Prefers Democratic Party)",43389,76.88,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","Justin Greywolf","(Prefers Libertarian Party)",12508,22.16,"Legislative"
"LEGISLATIVE DISTRICT 11 - State Representative Pos. 2","WRITE-IN"," ",541,0.96,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Senator","Keith W. Goehner","(Prefers Republican Party)",46550,55.8,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Senator","Jim Mayhew","(Prefers Democratic Party)",36824,44.14,"Legislative"
"LEGISLATIVE DISTRICT 12 - State Senator","WRITE-IN"," ",50,0.06,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Heather Koellen","(Prefers Democratic Party)",38800,46.63,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Brian Burnett","(Prefers Republican Party)",44318,53.26,"Legislative"
"Legislative District 12 - State Representative Pos. 1","WRITE-IN"," ",92,0.11,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Mike Steele","(Prefers Republican Party)",44400,61.74,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Daniel Scott","(Prefers Republican Party)",25741,35.8,"Legislative"
"Legislative District 12 - State Representative Pos. 2","WRITE-IN"," ",1771,2.46,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","Tom Dent","(Prefers Republican Party)",51493,97.34,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","WRITE-IN"," ",1406,2.66,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)",51012,97.68,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","WRITE-IN"," ",1210,2.32,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","Curtis King","(Prefers Republican Party)",17762,51.64,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","Maria Beltran","(Prefers Democratic Party)",16543,48.1,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","WRITE-IN"," ",90,0.26,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Chelsea Dimas","(Prefers Democratic Party)",15418,45.52,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Gloria Mendoza","(Prefers Republican Party)",18263,53.92,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","WRITE-IN"," ",189,0.56,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Deb Manjarrez","(Prefers Republican Party)",17188,50.67,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Ana Ruiz Kennedy","(Prefers Democratic Party)",16620,49,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","WRITE-IN"," ",113,0.33,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","Chris Corry","(Prefers Republican Party)",46438,70.65,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","Chase Foster","(States No Party Preference)",18736,28.51,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","WRITE-IN"," ",553,0.84,"Legislative"
